size,bcost,icost,scost,mcost,qcost,qcostm
406,164025,39406,82215,3022,3570,2849
407,164836,41538,82621,3027,3390,2823
408,165649,41031,83028,3022,3683,2848
409,166464,42138,83436,3017,3919,2912
410,167281,41794,83845,3061,4171,2921
411,168100,43139,84255,3072,3460,2881
412,168921,42059,84666,3071,3983,2921
413,169744,40880,85078,3079,3341,2949
414,170569,43619,85491,3075,4111,2918
415,171396,42736,85905,3086,3611,2965
416,172225,43636,86320,3103,4099,2930
417,173056,41734,86736,3120,3654,2965
418,173889,43360,87153,3121,4261,2960
419,174724,41830,87571,3120,3659,2932
420,175561,44825,87990,3127,4735,2970
421,176400,42174,88410,3161,4102,2979
422,177241,44581,88831,3161,4017,2994
423,178084,45483,89253,3144,3674,2982
424,178929,44743,89676,3169,3869,2981
425,179776,46089,90100,3157,3921,3005
426,180625,43643,90525,3194,4251,3052
427,181476,47967,90951,3196,3791,3031
428,182329,44163,91378,3232,4103,2974
429,183184,45358,91806,3208,4066,3053
430,184041,46301,92235,3231,4094,3042
431,184900,45109,92665,3232,3934,3086
432,185761,47204,93096,3248,3742,3054
433,186624,45924,93528,3230,4236,3097
434,187489,45743,93961,3265,4561,3110
435,188356,45565,94395,3257,4344,3084
436,189225,49581,94830,3288,4284,3084
437,190096,46312,95266,3294,3824,3105
438,190969,48585,95703,3306,3960,3144
439,191844,47656,96141,3323,3851,3104
440,192721,47376,96580,3310,4034,3150
441,193600,49959,97020,3306,4050,3237
442,194481,47697,97461,3326,4055,3164
443,195364,47618,97903,3353,4097,3180
444,196249,48442,98346,3345,3887,3173
445,197136,48785,98790,3377,3936,3161
446,198025,50301,99235,3357,4034,3209
447,198916,47673,99681,3390,4629,3167
448,199809,50396,100128,3401,4479,3227
449,200704,51261,100576,3402,4006,3199
450,201601,48437,101025,3409,4167,3359
451,202500,50477,101475,3419,4567,3288
452,203401,50650,101926,3406,3890,3309
453,204304,49777,102378,3428,4199,3397
454,205209,50575,102831,3448,4120,3239
455,206116,53951,103285,3444,4399,3308
456,207025,53139,103740,3463,3949,3298
457,207936,53755,104196,3485,4035,3277
458,208849,52362,104653,3496,4100,3324
459,209764,51623,105111,3478,4676,3289
460,210681,53140,105570,3499,4521,3271
461,211600,54494,106030,3521,3977,3356
462,212521,52604,106491,3509,4420,3323
463,213444,55132,106953,3538,4276,3378
464,214369,55548,107416,3502,4889,3423
465,215296,53402,107880,3554,4251,3348
466,216225,51328,108345,3553,4034,3404
467,217156,54487,108811,3566,4556,3397
468,218089,54119,109278,3563,4350,3392
469,219024,54688,109746,3588,4531,3426
470,219961,54007,110215,3581,4617,3428
471,220900,56476,110685,3591,4051,3441
472,221841,58183,111156,3613,4637,3403
473,222784,54053,111628,3600,4403,3396
474,223729,58520,112101,3624,4522,3442
475,224676,58137,112575,3636,5015,3444
476,225625,55724,113050,3646,5248,3439
477,226576,54301,113526,3657,4634,3470
478,227529,59040,114003,3668,4685,3624
479,228484,57767,114481,3669,4761,3528
480,229441,56383,114960,3650,4864,3505
481,230400,58183,115440,3678,4839,3564
482,231361,57940,115921,3701,5300,3528
483,232324,61796,116403,3687,4911,3532
484,233289,56273,116886,3690,4805,3538
485,234256,57431,117370,3723,4353,3491
486,235225,59539,117855,3755,5191,3548
487,236196,60497,118341,3750,4123,3545
488,237169,59094,118828,3732,4431,3572
489,238144,58108,119316,3757,5293,3541
490,239121,60150,119805,3752,4409,3770
491,240100,59815,120295,3784,4548,3557
492,241081,60519,120786,3791,4549,3700
493,242064,58054,121278,3755,4153,3574
494,243049,58800,121771,3808,4742,3706
495,244036,59872,122265,3802,4513,3623
496,245025,62960,122760,3800,4541,3618
497,246016,60831,123256,3816,4320,3672
498,247009,62681,123753,3831,4959,3648
499,248004,65529,124251,3850,5291,3651
500,249001,63212,124750,3862,4694,3645
501,250000,62207,125250,3847,5049,3698
502,251001,61974,125751,3872,5007,3771
503,252004,63693,126253,3874,5089,3719
504,253009,65382,126756,3910,4620,3714
505,254016,64567,127260,3907,5349,3656
506,255025,64262,127765,3903,5193,3702
507,256036,60747,128271,3918,4661,3774
508,257049,63688,128778,3919,5141,3747
509,258064,66817,129286,3938,4830,3749
510,259081,65847,129795,3937,4882,3756
511,260100,66555,130305,3946,4917,3776
512,261121,69599,130816,3962,5594,3821
513,262144,65446,131328,3975,5061,3731
514,263169,65504,131841,3967,4613,3857
515,264196,66765,132355,3980,4492,3831
516,265225,64667,132870,4006,4990,3813
517,266256,66009,133386,4017,5536,3816
518,267289,64996,133903,4038,4712,3828
519,268324,70242,134421,4039,4583,3809
520,269361,68597,134940,4024,5231,3910
521,270400,68043,135460,4040,5005,3888
522,271441,69433,135981,4054,4599,3925
523,272484,68041,136503,4060,5179,3854
524,273529,67256,137026,4071,4818,3835
525,274576,68900,137550,4059,5772,3878
526,275625,70787,138075,4079,5405,3890
527,276676,67806,138601,4095,5294,3937
